M14	M14202009231328	c	1	D	{3,4,8,11,12,14,15,17,18,20,21,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62}	Mainz	2020-09-23	0.783589	17.649	165.3	0.341	13	61	64	1.608	0.108	0.0563948	-0.0630673	47.2129	31.2509	96.3216	
M15	M15202009231312	c	0	B	{40}	Mainz	2020-09-23	0.77327	20.6938	161.5	0.243	13	64	64	1.609	0.107	-0.0712538	-0.059449	30.1033	30.2951	114.466	
M15	M15202009231312	c	1	D	{7,10,12,13,22,24,25,27,28,29,30,31,38,39,41,42,43,45,46,47,48,49,50,52,53,55,56}	Mainz	2020-09-23	0.739748	11.5577	153.6	0.391	15	64	64	1.609	0.107	-0.00575974	-0.0593233	-51.6895	30.8798	93.5292	
MV-11	MV-11202009231340	c	0	D	{2,6,9,10,14,18,22,24,26,30,31,34,36,41}	Mainz	2020-09-23	0.825751	14.337	169.3	0.321	16	59	63	1.619	0.113	-0.0419263	-0.0662622	28.0624	30.733	89.9531	
MV-11	MV-11202009231340	c	1	D	{18,36,43,45,48,52,54,60,62}	Mainz	2020-09-23	0.806739	31.7159	168.6	0.474	14	62	64	1.619	0.113	-0.0711561	-0.0635316	25.357	30.6068	81.7871	
MV-9	MV-9202009231350	c	0	D	{0,2,4,6,8,10,11,22,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63}	Mainz	2020-09-23	0.771479	20.6904	159	0.301	12	58	64	1.638	0.114	-0.0427764	-0.0574662	-8.90971	30.7859	86.7034	
MV-9	MV-9202009231350	c	1	E	{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63}	Mainz	2020-09-23	0.798636	19.6279	161.2	0.462	14	0	0	1.638	0.114	-0.238544	0	27.5539	0	0	
a0000006	a0000006202009231530	c	0	A	{}	Mainz	2020-09-23	0.834637	4.92115	171	0.362	14	64	64	1.657	0.114	-0.0704612	-0.0549408	31.9195	30.7347	88.5951	
a0000006	a0000006202009231530	c	1	D	{41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63}	Mainz	2020-09-23	0.831509	1.9351	171.2	0.409	12	64	64	1.657	0.114	-0.0699287	-0.052781	31.3981	31.6844	81.7195	
a0000032	a0000032202009281539	c	0	A	{}	BonnPI	2020-09-28	0.767598	37.2399	164	0.228	12	64	64	1.661	0.113	-0.0795207	-0.0597474	32.2985	31.49	97.3569	
